Catalogue,                                             Acronym,  Ordering
1st ROSAT X-ray Survey,                                1RXS,     0
Bayer designation,                                     ,         0
Bonner Durchmusterung,                                 BD,       0
Canada-France Brown Dwarf Survey,                      CFBDSIR,  0
Catalogue of High Proper Motion Stars,                 Wolf,     1
Chamaeleon X-ray source ROSAT satellite,               CHXR,     0
CoRoT Catalogue,                                       CoRoT,    1
Deep Near Infrared Survey Provisory designation,       DENIS-P,  0
Ecliptic Plane Input Catalog,                          EPIC,     0
Flamsteed designation,                                 ,         0
General Catalog of Variable Stars,                     ,         0
Gliese-Jahreiss catalogue,                             GJ,       1
Guide Star Catalog,                                    GSC,      0
Harvard Revised Catalogue,                             HR,       1
Henry Draper Catalogue,                                HD,       1
Hipparcos Catalogue,                                   HIP,      1
Hungarian Automated Telescope,                         HAT,      1
Index Catalogue,                                       IC,       0
K2 Variable Star Catalogue,                            K2VarCat, 2
Kepler Input Catalog,                                  KIC,      0
Kepler Object of Interest,                             KOI,      1
Kepler catalog,                                        Kepler,   1
Kilodegree Extremely Little Telescope,                 KELT,     1
Korea Microlensing Telescope Network,                  KMT,      0
Kourovka Planet Search,                                KPS,      0
Lupus,                                                 Lupus,    0
Luyten Half-Second catalogue,                          LHS,      0
Luyten Palomar Survey,                                 LP,       0
Luyten Two-Tenth catalogue,                            LTT,      0
Luyten catalogue,                                      L,        1
Lépine-Shara Proper Motion catalog,                    LSPM,     0
Massachusetts X-ray Burster,                           MXB,      0
Microlensing Observations in Astrophysics,             MOA,      0
New General Catalogue,                                 NGC,      0
Next Generation Transit Survey,                        NGTS,     1
Northern Sky Variability Survey,                       NSVS,     0
Optical Gravitational Lensing Experiment,              OGLE,     0
Other stars,                                           ,         0
Parkes Selected Region,                                PSR,      0
Pico dos Dias survey,                                  PDS,      0
Planet Hunters,                                        PH,       0
Pre-OmegaTranS project,                                POTS,     0
Qatar Exoplanet Survey,                                QATAR,    1
Rho Oph X-ray source,                                  ROXs,     0
Ross Catalogue of New Proper Motion Stars,             Ross,     0
Sagittarius Window Eclipsing Extrasolar Planet Search, SWEEPS,   1
Stars with proper names,                               ,         0
TESS Input Catalog,                                    TIC,      0
TESS Object of Interest,                               TOI,      0
Taurus Auriga Perseus,                                 TAP,      0
Trans-Atlantic Exoplanet Survey,                       TrES,     0
Transient Confirmation Page,                           TCP,      0
Transiting Planets and Planetesimals Small Telescope,  TRAPPIST, 0
Two Micron All Sky Survey,                             2MASS,    0
Tycho Catalogue,                                       TYC,      0
United Kingdom Infrared Telescope,                     UKIRT,    0
Upper Sco Cerro Tololo Inter-american Obs,             UScoCTIO, 0
VISTA Hemisphere Survey,                               VHS,      0
WFCAM Transit Survey,                                  WTS,      0
Wide Angle Search for Planets,                         WASP,     1
Wide-field Infrared Survey Explorer,                   WISE,     0
XO project,                                            XO,       0
