rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optmagblend,st_optband,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,rowupdate,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_disc,st_sp,st_spstr,st_sperr,st_splim,st_spblend,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_lumblend,st_bmvj,st_bmvjerr,st_bmvjlim,st_bmvjblend
1,11 Com,b,Radial Velocity,1,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,0.231000,0.005000,-0.005000,0,,,,,19.40000,1.50000,-1.50000,0,Msini,,,,,,,,,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,0,4.740,,0,0,V (Johnson),4742.00,100.00,-100.00,0,0,2.70,0.30,-0.30,0,0,19.00,2.00,-2.00,0,0,2014-05-14,,,,,2007,5.00,K0 III,,0,0,2.243,0.071,-0.085,0,0,1.010,,0,0
2,11 UMi,b,Radial Velocity,1,516.22000000,3.25000000,-3.25000000,0,1.540000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,,,,,10.50000,2.47000,-2.47000,0,Msini,,,,,,,,,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,6.22,-6.95,0,5.016,0.009,0,0,V (Johnson),4340.00,70.00,-70.00,0,0,1.80,0.25,-0.25,0,0,24.08,1.84,-1.84,0,0,2014-05-14,,,,,2009,5.40,K4 III,,0,0,,,,,,1.369,0.017,0,0
3,14 And,b,Radial Velocity,1,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,0.000000,,,0,,,,,4.80000,,,0,Msini,,,,,,,,,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,3.93,-4.38,0,,,,,,4813.00,20.00,-20.00,0,0,2.20,0.10,-0.20,0,0,11.00,1.00,-1.00,0,0,2014-05-14,,,,,2008,4.80,G8 III,,0,0,1.763,,,0,0,1.020,,0,0
4,14 Her,b,Radial Velocity,1,1773.40000000,2.50000000,-2.50000000,0,2.770000,0.050000,-0.050000,0,0.369000,0.005000,-0.005000,0,,,,,4.64000,0.19000,-0.19000,0,Msini,,,,,,,,,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,0.19,-0.20,0,6.610,0.020,0,0,V (Johnson),5311.00,87.00,-87.00,0,0,0.90,0.05,-0.05,0,0,,,,,0,2014-05-14,,,,,2002,5.00,K0 V,,0,0,,,,,0,0.880,0.010,0,0
5,16 Cyg B,b,Radial Velocity,1,798.50000000,1.00000000,-1.00000000,0,1.681000,0.097000,-0.097000,0,0.681000,0.017000,-0.017000,0,,,,,1.68000,0.15000,-0.15000,0,Msini,,,,,,,,,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,0,6.250,,0,0,V (Johnson),5674.00,,,0,0,0.99,,,0,0,,,,,0,2015-09-10,,,,,1996,4.25,G2.5 V,,0,0,,,,,0,0.660,,0,0
6,18 Del,b,Radial Velocity,1,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,0.080000,0.010000,-0.010000,0,,,,,10.30000,,,0,Msini,,,,,,,,,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.10,3.56,-3.94,0,,,,,,4979.00,18.00,-18.00,0,0,2.30,,,0,0,8.50,,,0,0,2014-05-14,,,,,2008,4.60,G6 III,,0,0,1.602,,,0,0,0.924,0.017,0,0
7,1RXS J160929.1-210524,b,Imaging,1,,,,,330.000000,,,0,,,,,,,,,8.00000,1.00000,-1.00000,0,Mass,,,,,,,,,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,14.00,-14.00,0,,,,,,4060.00,300.00,-200.00,0,0,0.85,0.20,-0.10,0,0,,,,,0,2015-04-01,8.00000,1.00000,-1.00000,0,2008,5.70,K7 V,,0,0,-0.370,0.150,-0.150,0,0,,,,
8,24 Sex,b,Radial Velocity,2,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,,,,,1.99000,0.26000,-0.38000,0,Msini,,,,,,,,,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.010,0,0,V (Johnson),5098.00,44.00,-44.00,0,0,1.54,0.08,-0.08,0,0,4.90,0.08,-0.08,0,0,2014-05-14,,,,,2010,5.00,K0 IV,,0,0,1.164,0.003,-0.003,0,0,0.958,0.018,0,0
9,24 Sex,c,Radial Velocity,2,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,,,,,0.86000,0.35000,-0.22000,0,Msini,,,,,,,,,0,0,0,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,0,6.441,0.010,0,0,V (Johnson),5098.00,44.00,-44.00,0,0,1.54,0.08,-0.08,0,0,4.90,0.08,-0.08,0,0,2014-05-14,,,,,2010,5.00,K0 IV,,0,0,1.164,0.003,-0.003,0,0,0.958,0.018,0,0
10,2MASS J01225093-2439505,b,Imaging,1,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,24.50000,2.50000,-2.50000,0,Mass,,,,,,,,,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,4.00,-4.00,0,14.240,0.070,0,0,V (Johnson),3530.00,50.00,-50.00,0,0,0.40,0.05,-0.05,0,0,,,,,,2014-05-14,24.50000,2.50000,-2.50000,0,2013,6.35,M3.5 V,,0,0,-1.720,0.110,-0.110,0,0,,,,
11,2MASS J02192210-3925225,b,Imaging,1,,,,,156.000000,10.000000,-10.000000,0,,,,,,,,,13.90000,1.10000,-1.10000,0,Mass,1.440,0.030,-0.030,0,,,,,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,2.60,-2.60,0,,,,,,3064.00,76.00,-76.00,0,0,0.11,0.01,-0.01,0,0,0.28,0.01,-0.01,0,0,2015-05-14,13.90000,1.10000,-1.10000,0,2015,6.60,M6,,0,0,-2.230,0.060,-0.060,0,0,,,,
12,2MASS J04414489+2301513,b,Imaging,1,,,,,15.000000,,,0,,,,,,,,,7.50000,2.50000,-2.50000,0,Mass,,,,,,,,,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,,,0,,,,,,,,,,,0.02,,,0,0,,,,,,2014-05-14,7.50000,2.50000,-2.50000,0,2010,6.85,M8.5,,0,0,,,,,,,,,
13,2MASS J12073346-3932539,b,Imaging,1,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,4.00000,1.00000,-1.00000,0,Mass,,,,,,,,,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.40,1.10,-1.10,0,20.150,0.190,0,0,V (Johnson),,,,,,0.02,,,0,0,,,,,,2014-05-14,4.00000,1.00000,-1.00000,0,2004,6.80,M8,,0,0,,,,,,,,,
