pl_hostname,pl_letter,pl_dens,pl_disc,pl_massj,pl_radj,pl_orbsmax,pl_orbper,st_bmvj,st_dist,st_lum,st_rad,st_spstr
HD 12661,b,,2000,,,0.840000,262.70862000,0.731,37.89,,1.20,K0
HD 12661,c,,2002,,,2.814500,1708.00000000,0.731,37.89,,1.20,K0
HD 13189,b,,2005,,,1.250000,471.60001000,1.483,504.71,,38.41,K2
HD 13908,b,,2013,,,0.154000,19.38200000,0.535,79.73,0.602,1.67,F8 V
HD 13908,c,,2013,,,2.030000,931.00000000,0.535,79.73,0.602,1.67,F8 V
HD 13931,b,,2009,,,5.150000,4218.00000000,0.642,47.46,,1.25,G0
HD 14067,b,,2014,,,3.400000,1455.00000000,1.025,142.60,1.898,12.40,G9 III
HD 16141,b,,2000,,,0.360000,75.52300000,0.670,37.83,,1.48,G5 IV
HD 16417,b,,2008,,,0.140000,17.24000000,0.653,25.41,,,G1 V
HD 16175,b,,2009,,,2.120000,990.00000000,0.660,59.96,,1.72,G0
HD 17092,b,,2007,,,1.310000,359.89999000,1.267,229.89,,13.58,K0 III
HD 17156,b,,2007,3.51000,1.100,,21.21663000,0.617,78.26,,1.55,G0 V
HD 18742,b,,2011,,,1.820000,766.00000000,0.940,163.37,,5.13,G8/K0 IV
HD 19994,b,,2003,,,1.305000,466.20000000,0.570,22.54,,,G0 V
HD 20794,b,,2011,,,0.120700,18.31500000,0.710,6.00,,,G8 V
HD 20794,c,,2011,,,0.203600,40.11400000,0.710,6.00,,,G8 V
HD 20794,d,,2011,,,0.349900,90.30900000,0.710,6.00,,,G8 V
HD 215497,c,,2009,,,1.282000,567.94000000,0.950,40.59,,0.85,K3 V
HD 216435,b,,2002,,,2.560000,1311.00000000,0.620,33.01,,,G0 V
HD 216437,b,,2002,,,2.497000,1334.28000000,0.677,26.71,,1.39,G2/3 IV
HD 216536,b,,2015,,,0.610000,148.60001000,1.190,380.33,,9.83,K0
HD 216770,b,,2003,,,0.460000,118.45000000,0.847,36.70,,0.93,K0 V
HD 217107,b,,1998,,,0.080000,7.12682000,0.740,20.07,,1.11,G8 IV
HD 217107,c,,2005,,,5.320000,4270.00000000,0.740,20.07,,1.11,G8 IV
HD 217786,b,,2011,,,2.380000,1319.00000000,0.578,54.80,0.276,1.27,F8 V
HD 218566,b,,2010,,,0.690000,225.70000000,1.013,28.85,,0.85,K3 V
HD 219077,b,,2012,,,6.220000,5501.00000000,0.780,29.21,0.425,1.91,G8 V
HD 219415,b,,2012,,,3.200000,2093.30000000,1.002,165.97,0.620,2.90,K0 III
HD 219828,b,,2007,,,0.050700,3.83492000,0.654,73.27,0.420,1.61,G0 IV
HD 220074,b,,2012,,,1.600000,672.09998000,,327.41,,54.92,M2 III
HD 220689,b,,2012,,,3.396000,2266.40000000,0.671,46.94,,1.07,G3 V
HD 220773,b,,2011,,,4.940000,3724.70000000,0.632,49.00,,,F9
HD 221287,b,,2007,,,1.250000,456.10000000,0.505,56.01,0.220,,F7 V
HD 222155,b,,2011,,,5.140000,3999.00000000,0.645,50.68,,1.85,G2 V
HD 222582,b,,1999,,,1.340000,572.38000000,0.650,42.21,,1.13,G5 V
Kepler-87,b,0.72900,2013,1.02000,1.204,0.481000,114.73635000,,1277.88,,1.82,
Kepler-87,c,0.15200,2013,0.02000,0.548,0.676000,191.23180000,,1277.88,,1.82,
KOI-142,b,0.87000,2013,0.02700,0.337,,10.95416000,,339.00,-0.223,0.88,G6 V
KOI-142,c,,2013,0.62600,,0.155250,22.33950000,,339.00,-0.223,0.88,G6 V
KOI-94,b,10.10000,2013,0.03300,0.153,0.051190,3.74320800,,483.65,0.479,1.52,
KOI-94,c,0.91000,2013,0.04900,0.385,0.101300,10.42364800,,483.65,0.479,1.52,
KOI-94,d,0.36300,2013,0.33400,1.005,0.168400,22.34298900,,483.65,0.479,1.52,
KOI-94,e,0.60000,2013,0.11000,0.585,0.304600,54.32031000,,483.65,0.479,1.52,
KOI-351,b,,2013,,0.117,0.074000,7.00815100,,780.00,,1.20,
KOI-351,c,,2013,,0.106,0.089000,8.71937500,,780.00,,1.20,
KOI-351,d,,2013,,0.256,0.320000,59.73667000,,780.00,,1.20,
KOI-351,e,,2013,,0.237,0.420000,91.93913000,,780.00,,1.20,
KOI-351,f,,2013,,0.257,0.480000,124.91440000,,780.00,,1.20,
KOI-351,g,,2013,,0.723,0.710000,210.60697000,,780.00,,1.20,
KOI-351,h,,2013,,1.008,1.010000,331.60059000,,780.00,,1.20,
Kepler-91,b,0.40000,2013,0.81000,1.367,0.073100,6.24658000,,1344.56,,6.30,K3
Kepler-92,b,,2013,0.20200,0.313,,13.74900000,,484.62,,1.53,
Kepler-92,c,,2013,0.01900,0.232,,26.72300000,,484.62,,1.53,
Kepler-135,b,,2014,,0.161,0.067000,6.00253000,,632.99,,1.27,
Kepler-135,c,,2014,,0.103,0.103000,11.44870800,,632.99,,1.27,
Kepler-136,b,,2014,,0.183,0.106000,11.57890000,,425.94,,1.35,
Kepler-136,c,,2014,,0.178,0.133000,16.39923500,,425.94,,1.35,
Kepler-137,b,,2014,,0.131,0.077000,8.43638700,,305.65,,0.80,
Kepler-137,c,,2014,,0.168,0.130000,18.73575300,,305.65,,0.80,
Kepler-138,b,2.60000,2014,0.00021,0.047,,10.31260000,,66.99,,0.44,M1 V
Kepler-138,c,6.20000,2014,0.00620,0.107,,13.78130000,,66.99,,0.44,M1 V
Kepler-138,d,2.10000,2014,0.00201,0.108,,23.08810000,,66.99,,0.44,M1 V
Kepler-139,b,,2014,,0.262,0.127000,15.77104400,,395.45,,1.30,
Kepler-139,c,,2014,,0.302,0.586000,157.07287800,,395.45,,1.30,
Kepler-140,b,,2014,,0.144,0.045000,3.25427000,,593.80,,1.29,
Kepler-140,c,,2014,,0.161,0.414000,91.35328200,,593.80,,1.29,
Kepler-141,b,,2014,,0.062,0.039000,3.10767500,,303.83,,0.79,
Kepler-141,c,,2014,,0.126,0.067000,7.01060600,,303.83,,0.79,
Kepler-142,b,,2014,,0.178,0.032000,2.02415200,,557.51,,1.27,
Kepler-142,c,,2014,,0.255,0.057000,4.76170200,,557.51,,1.27,
HD 20782,b,,2006,,,1.364900,597.06430000,0.630,36.02,,1.11,G3 V
HD 20868,b,,2008,,,0.950000,380.85001000,1.037,47.79,,0.76,K3/4 IV
HD 23127,b,,2006,,,2.370000,1211.17000000,0.701,94.11,,1.49,G2 V
HD 23079,b,,2001,,,1.600000,730.59998000,0.580,33.49,,1.07,F8/G0 V
HD 22781,b,,2011,,,1.167000,528.07000000,0.861,32.63,,,K1
HD 23596,b,,2003,,,2.770000,1561.00000000,0.608,52.08,,1.53,F8 V
HD 24040,b,,2006,,,4.920000,3668.00000000,0.677,46.68,,1.30,G0 V
HD 25171,b,,2010,,,2.971000,1802.29000000,0.618,55.70,,1.23,F8 V
HD 27442,b,,2000,,,1.271000,428.10000000,1.080,18.28,,,K1/2 III
HD 27631,b,,2012,,,3.242000,2198.14000000,0.721,50.36,,0.92,G3 IV-V
HD 27894,b,,2005,,,0.125000,18.02000000,1.042,43.88,,,K2 V
HD 28254,b,,2010,,,2.150000,1116.00000000,0.756,54.70,0.340,1.48,G1 IV/V
HD 28185,b,,2001,,,1.020000,379.00000000,0.715,39.43,,1.03,G5
HD 28678,b,,2011,,,1.180000,380.20000000,1.010,190.92,,6.48,G8 IV
HD 30177,b,,2002,,,3.704000,2527.83000000,0.773,55.68,,1.02,G8 V
HD 30562,b,,2009,,,2.340000,1157.00000000,0.620,26.18,,1.61,F8 V
HD 30669,b,,2014,,,2.690000,1684.00000000,0.820,57.10,,0.91,G9 V
HD 224693,b,,2006,,,0.191000,26.69040000,0.639,93.75,0.610,1.93,G2 V
HD 231701,b,,2007,,,0.567000,141.63000000,0.539,109.22,0.470,1.53,F8 V
HD 233604,b,,2013,,,0.747000,192.00000000,,868.63,1.750,10.90,K5
HD 240210,b,,2009,,,1.160000,501.75000000,,142.86,1.550,,K3 III
HD 240237,b,,2011,,,1.920000,745.70001000,1.682,958.16,,71.23,K2 III
HD 290327,b,,2009,,,3.430000,2443.00000000,0.761,56.52,,0.95,G8 V
HD 285968,b,,2008,,,0.066000,8.78360000,1.530,9.47,-1.472,0.45,M2 V
HD 285507,b,,2013,,,0.060000,6.08810000,1.415,45.09,,0.69,K4.5 V
HD 330075,b,,2004,,,0.040000,3.38773000,0.898,45.36,,0.84,K1
HIP 5158,b,,2009,,,0.890000,345.72000000,1.106,51.68,-0.959,,
HIP 5158,c,,2011,,,7.700000,9017.76000000,1.106,51.68,-0.959,,
HIP 12961,b,,2010,,,0.250000,57.43500000,1.410,23.39,,0.65,M0
HIP 14810,b,,2005,,,0.069600,6.67389200,0.777,50.55,-0.010,1.07,G5
HIP 14810,c,,2006,,,0.549000,147.74700000,0.777,50.55,-0.010,1.07,G5
HIP 14810,d,,2009,,,1.940000,981.80000000,0.777,50.55,-0.010,1.07,G5
GJ 1148,b,,2010,,,0.166000,41.38000000,1.520,11.02,-1.699,0.40,M4
HIP 57274,b,,2011,,,0.070000,8.13520000,1.110,25.88,,0.78,K4 V
Kepler-93,b,,2014,0.01000,0.140,,4.72674000,,96.18,,0.98,
Kepler-93,c,,2014,3.00000,,,1460.00000000,,96.18,,0.98,
Kepler-94,b,1.45000,2014,0.03400,0.313,,2.50806000,,192.97,,0.76,M0 V
Kepler-94,c,,2014,9.83600,,,820.30000000,,192.97,,0.76,M0 V
Kepler-95,b,1.71000,2014,0.04100,0.305,,11.52310000,,451.38,,1.41,
Kepler-96,b,2.26000,2014,0.02700,0.238,,16.23850000,,123.32,,1.02,
Kepler-97,b,5.44000,2014,0.01100,0.132,,2.58664000,,405.58,,0.98,
Kepler-97,c,,2014,1.08000,,,789.00000000,,405.58,,0.98,
Kepler-98,b,2.18000,2014,0.01100,0.178,,1.54168000,,353.87,,1.11,
Kepler-99,b,10.90000,2014,0.01900,0.132,,4.60358000,,209.63,,0.73,
Kepler-100,b,14.25000,2014,0.02300,0.118,,6.88705000,,307.34,,1.49,
Kepler-100,c,,2014,0.02218,0.196,,12.81590000,,307.34,,1.49,
Kepler-100,d,,2014,0.00944,0.144,,35.33310000,,307.34,,1.49,
Kepler-101,b,1.45000,2014,0.16000,0.510,0.047400,3.48768120,0.720,953.44,,1.56,G3 IV
Kepler-101,c,10.50000,2014,0.01000,0.112,0.068400,6.02976000,0.720,953.44,,1.56,G3 IV
Kepler-102,b,,2014,0.01353,0.042,,5.28696000,,108.13,-0.553,0.76,
Kepler-102,c,,2014,0.00944,0.052,,7.07142000,,108.13,-0.553,0.76,
Kepler-102,d,13.27000,2014,0.01200,0.105,,10.31170000,,108.13,-0.553,0.76,
Kepler-142,d,,2014,,0.193,0.242000,41.80911800,,557.51,,1.27,
Kepler-143,b,,2014,,0.215,0.127000,16.00758300,,828.71,,1.36,
