disc_year,hostname,pl_dens,pl_letter,pl_massj,pl_orbper,pl_orbsmax,pl_radj,st_lum,st_rad,st_spectype,sy_bmag,sy_dist,sy_vmag
2004,"OGLE-TR-10",0.40000,"b",0.62000,3.10127800,0.043400,1.250,0.188,1.17,,19.3310000,1344.9700000,16.0060000
2009,"BD-08 2823",,"c",,237.60000000,0.680000,,,,"K3 V",10.8800000,41.3342000,9.8600000
2009,"HD 110014",,"b",,835.47700000,2.140000,,,20.90,"K2 III",5.8870000,100.7580000,4.6459700
2013,"GJ 667 C",,"f",,39.02600000,0.156000,,-1.863,,"M1.5 V",,7.2439600,10.6020000
2013,"GJ 667 C",,"g",,256.20000000,0.549000,,-1.863,,"M1.5 V",,7.2439600,10.6020000
2013,"GJ 667 C",,"c",,28.14000000,0.125000,,-1.863,,"M1.5 V",,7.2439600,10.6020000
2011,"KOI-13",3.60000,"b",9.28000,1.76358800,0.036410,1.512,,1.74,,10.6540000,519.0960000,9.7910000
2015,"KELT-7",,"b",1.39000,2.73477000,,1.600,,1.81,,8.9970000,136.6810000,8.5600000
2018,"HATS-61",2.47000,"b",3.40000,7.81795300,0.079080,1.195,0.369,1.66,,14.0200000,679.7610000,13.3520000
2018,"HATS-63",0.67000,"b",0.96000,3.05665270,0.040260,1.207,0.012,1.07,,14.5950000,623.2320000,13.9920000
2020,"HD 108236",,"c",,6.20344900,0.062000,0.185,-0.150,0.88,,9.8940000,64.5978000,9.2500000
2024,"TOI-1224",,"b",,4.17827450,0.035500,0.188,-1.697,0.40,,15.5130000,37.3312000,13.9500000
2024,"TOI-1224",,"c",,17.94546600,,0.257,-1.697,0.40,,15.5130000,37.3312000,13.9500000
2024,"HD 48948",,"b",,7.34013000,0.065200,,,0.68,"K3 V",9.7950000,16.9043000,8.5800000
2024,"HD 48948",,"c",,38.06000000,0.195100,,,0.68,"K3 V",9.7950000,16.9043000,8.5800000
2024,"HD 48948",,"d",,151.92000000,0.489400,,,0.68,"K3 V",9.7950000,16.9043000,8.5800000
2016,"WASP-76",0.17000,"b",0.89400,1.80988198,0.033000,1.854,,1.76,"F7",10.1320000,194.4590000,9.5180000
