pl_hostname,pl_letter,pl_dens,pl_disc,pl_massj,pl_radj,pl_orbsmax,pl_orbper,st_bmvj,st_dist,st_lum,st_rad,st_spstr
Kepler-188,c,,2014,,0.285,0.066000,5.99655300,,,,1.14,
Kepler-19,c,,2011,6.00000,,,160.00000000,,2119.00,,0.85,
Kepler-191,b,,2014,,0.120,0.087000,9.93963200,,,,0.79,
Kepler-193,b,,2014,,0.213,0.106000,11.38848000,,,,1.15,
Kepler-194,d,,2014,,0.214,0.275000,52.81497300,,,,1.02,
Kepler-196,c,,2014,,0.200,0.240000,47.42773700,,,,0.78,
Kepler-198,b,,2014,,0.252,0.131000,17.79003700,,,,0.94,
Kepler-20,e,,2011,0.01000,0.077,,6.09849300,,290.00,-0.149,0.94,
Kepler-200,b,,2014,,0.190,0.080000,8.59480500,,,,0.94,
Kepler-202,b,,2014,,0.145,0.045000,4.06942700,,,,0.67,
Kepler-204,b,,2014,,0.226,0.117000,14.40097400,,,,1.24,
Kepler-206,b,,2014,,0.107,0.078000,7.78198700,,,,1.19,
Kepler-207,c,,2014,,0.134,0.044000,3.07157100,,,,1.59,
Kepler-208,d,,2014,,0.107,0.103000,11.13178600,,,,1.31,
Kepler-210,c,,2014,,0.323,0.070000,7.97251300,,,,0.65,
Kepler-212,c,,2014,,0.244,0.207000,31.80517400,,,,1.46,
Kepler-242,c,,2014,,0.178,0.109000,14.49648100,,,,0.85,
Kepler-244,c,,2014,,0.183,0.087000,9.76729200,,,,0.80,
Kepler-246,b,,2014,,0.209,0.052000,4.60182000,,,,0.83,
Kepler-247,d,,2014,,0.352,0.140000,20.47791200,,,,0.77,
Kepler-249,c,,2014,,0.135,0.058000,7.11370200,,,,0.48,
Kepler-25,d,,2014,0.28300,,,123.00000000,,,,1.31,
Kepler-250,d,,2014,,0.194,0.127000,17.64831200,,,,0.81,
Kepler-252,b,,2014,,0.110,0.058000,6.66839100,,,,0.55,
Kepler-253,d,,2014,,0.283,0.130000,18.11986900,,,,0.79,
Kepler-255,b,,2014,,0.138,0.063000,5.71460600,,,,0.93,
Kepler-604,b,,2016,,0.231,,25.85501786,,981.00,,1.03,
Kepler-605,b,,2016,,0.128,,3.38353807,,570.00,,0.88,
Kepler-605,c,,2016,,0.077,,2.35895152,,570.00,,0.88,
Kepler-606,b,,2016,,0.295,,24.31575992,,1208.00,,1.22,
Kepler-607,b,,2016,,0.078,,0.63816320,,500.00,,0.80,
Kepler-608,b,,2016,,0.325,,6.41251504,,926.00,,1.01,
Kepler-609,b,,2016,,0.299,,6.52121067,,1143.00,,1.14,
Kepler-610,b,,2016,,0.374,,6.99692655,,1113.00,,1.13,
Kepler-610,c,,2016,,0.294,,151.86392000,,1113.00,,1.13,
Kepler-191,d,,2016,,0.203,,5.94504102,,,,0.79,
Kepler-611,b,,2016,,0.147,,2.43703330,,906.00,,1.01,
Kepler-192,d,,2016,,0.091,,6.47027579,,,,1.01,
Kepler-612,b,,2016,,0.253,,3.72215641,,932.00,,0.96,
Kepler-613,b,,2016,,0.204,,15.77979614,,864.00,,0.96,
Kepler-614,b,,2016,,0.213,,14.03491514,,571.00,,0.81,
Kepler-615,b,,2016,,0.155,,10.35584657,,330.00,,0.69,
Kepler-616,b,,2016,,0.217,,9.99761851,,1019.00,,0.97,
Kepler-616,c,,2016,,0.304,,90.41135560,,1019.00,,0.97,
Kepler-617,b,,2016,,0.118,,1.68269615,,150.00,,0.48,
Kepler-618,b,,2016,,0.232,,3.59576964,,1115.00,,1.08,
Kepler-619,b,,2016,,0.282,,5.40427220,,1111.00,,1.11,
Kepler-619,c,,2016,,0.151,,1.20846503,,1111.00,,1.11,
Kepler-620,b,,2016,,0.296,,12.91375431,,1241.00,,1.22,
Kepler-621,b,,2016,,0.205,,2.62811375,,389.00,,0.68,
Kepler-622,b,,2016,,0.190,,14.28226676,,259.00,,0.61,
HD 143105,b,,2016,,,0.037900,2.19740000,0.520,48.70,,,F5
HIP 109600,b,,2016,,,0.706000,232.08000000,0.750,58.60,,,G5
HD 35759,b,,2016,,,0.389000,82.46700000,0.590,72.50,,,G0
HIP 109384,b,,2016,,,1.134000,499.48000000,0.790,56.20,,,G5
HD 220842,b,,2016,,,0.740000,218.47000000,0.580,62.50,,,F8
HD 12484,b,,2016,,,0.297000,58.83000000,0.660,51.10,,,F8
HIP 65407,b,,2016,,,0.177000,28.12500000,0.780,55.50,,,K0
HIP 65407,c,,2016,,,0.316000,67.30000000,0.780,55.50,,,K0
HD 141399,b,,2014,,,0.415000,94.44000000,0.730,36.20,,,K0
HD 141399,c,,2014,,,0.689000,201.99000000,0.730,36.20,,,K0
HD 141399,d,,2014,,,2.090000,1069.80000000,0.730,36.20,,,K0
HD 141399,e,,2014,,,5.000000,5000.00000000,0.730,36.20,,,K0
KELT-4 A,b,0.22800,2016,0.90200,1.699,0.043170,2.98959320,0.490,210.00,0.535,1.60,F
K2-28,b,,2016,,0.207,0.021400,2.26045500,1.815,53.00,,0.29,M4
K2-19,d,,2016,,0.102,0.034400,2.50856000,0.796,291.00,,0.86,G9 V
K2-31,b,,2016,1.77400,1.060,0.022000,1.25785000,0.831,,,0.78,G7 V
K2-32,b,,2016,,0.480,0.080800,8.99218000,0.971,,,0.87,G9 V
K2-32,d,,2016,,0.335,0.187300,31.71922000,0.971,,,0.87,G9 V
K2-32,c,,2016,,0.310,0.140700,20.65614000,0.971,,,0.87,G9 V
WASP-119,b,0.70000,2016,1.23000,1.400,0.036300,2.49979000,,333.00,,1.20,G5
WASP-124,b,0.43000,2016,0.60000,1.240,0.044900,3.37265000,,433.00,,1.02,F9
WASP-126,b,0.41000,2016,0.28000,0.960,0.044900,3.28880000,,234.00,,1.27,G2
WASP-129,b,1.60000,2016,1.00000,0.930,0.062800,5.74814500,,246.00,,0.90,G1
WASP-133,b,0.88000,2016,1.16000,1.210,0.034500,2.17642300,,547.00,,1.44,G4
Kepler-198,d,,2016,,0.136,,1.31184443,,,,0.94,
Kepler-624,b,,2016,,0.206,,14.58649607,,731.00,,1.18,
Kepler-625,b,,2016,,0.178,,7.75192492,,502.00,,0.96,
Kepler-625,c,,2016,,0.094,,4.16536510,,502.00,,0.96,
Kepler-626,b,,2016,,0.204,,14.48585199,,690.00,,1.05,
Kepler-627,b,,2016,,0.333,,40.69944430,,1143.00,,1.49,
Kepler-628,b,,2016,,0.749,,15.45805670,,579.00,,1.28,
Kepler-629,b,,2016,,0.123,,7.23858540,,383.00,,0.84,
Kepler-630,b,,2016,,0.284,,161.47439370,,657.00,,1.04,
Kepler-631,b,,2016,,0.259,,17.97979059,,843.00,,1.33,
Kepler-632,b,,2016,,0.197,,30.99660733,,349.00,,0.84,
Kepler-633,b,,2016,,0.145,,8.50340718,,634.00,,1.15,
Kepler-634,b,,2016,,0.169,,5.16950177,,757.00,,1.24,
Kepler-635,b,,2016,,0.236,,23.44971004,,826.00,,1.51,
Kepler-636,b,,2016,,0.397,,16.08066115,,341.00,,0.80,
Kepler-637,b,,2016,,0.424,,23.20584623,,1575.00,,2.56,
Kepler-638,b,,2016,,0.163,,6.07972888,,426.00,,0.93,
Kepler-639,b,,2016,,0.212,,10.21420496,,680.00,,1.29,
Kepler-640,b,,2016,,0.228,,22.24813967,,538.00,,0.94,
Kepler-641,b,,2016,,0.165,,9.48961571,,673.00,,1.13,
Kepler-642,b,,2016,,0.259,,4.41745855,,1022.00,,1.66,
Kepler-643,b,,2016,,0.906,,16.33889626,,1029.00,,2.52,
Kepler-644,b,,2016,,0.281,,3.17391710,,1413.00,,1.81,
Kepler-645,b,,2016,,0.187,,3.27582262,,901.00,,1.21,
Kepler-646,b,,2016,,0.178,,15.87364565,,513.00,,0.91,
Kepler-647,b,,2016,,0.104,,16.22546490,,789.00,,1.07,
Kepler-648,b,,2016,,0.287,,17.42117490,,665.00,,0.98,
Kepler-649,b,,2016,,0.202,,29.90722674,,525.00,,0.94,
Kepler-650,b,,2016,,0.264,,3.03214559,,805.00,,1.35,
Kepler-651,b,,2016,,0.211,,21.38521506,,537.00,,0.87,
Kepler-217,d,,2016,,0.118,,3.88689525,,,,1.80,
Kepler-218,d,,2016,,0.237,,124.52446470,,,,1.06,
Kepler-652,b,,2016,,0.222,,4.18200253,,423.00,,0.88,
Kepler-653,b,,2016,,0.174,,14.70748976,,593.00,,1.19,
Kepler-653,c,,2016,,0.070,,0.90037648,,593.00,,1.19,
Kepler-654,b,,2016,,0.185,,13.72465129,,661.00,,1.11,
Kepler-655,b,,2016,,0.242,,46.40633580,,783.00,,1.24,
Kepler-656,b,,2016,,0.278,,1.26025909,,867.00,,0.82,
Kepler-657,b,,2016,,0.314,,24.54350418,,1244.00,,1.01,
Kepler-658,b,,2016,,0.145,,1.28707676,,341.00,,0.60,
Kepler-659,b,,2016,,0.223,,17.67179600,,688.00,,0.74,
Kepler-660,b,,2016,,0.229,,9.27358194,,564.00,,0.71,
Kepler-661,b,,2016,,0.274,,6.02930132,,558.00,,0.67,
Kepler-662,b,,2016,,0.194,,21.67697486,,641.00,,0.74,
Kepler-663,b,,2016,,0.232,,4.99678284,,1030.00,,0.82,
Kepler-664,b,,2016,,0.237,,2.52559332,,1386.00,,1.02,
Kepler-665,b,,2016,,0.232,,16.01310205,,651.00,,0.74,
Kepler-666,b,,2016,,0.214,,4.49876092,,1330.00,,1.05,
Kepler-667,b,,2016,,0.422,,41.43962808,,907.00,,0.87,
Kepler-668,b,,2016,,0.241,,8.35390639,,877.00,,0.82,
Kepler-669,b,,2016,,0.431,,4.12554687,,1778.00,,1.20,
Kepler-670,b,,2016,,1.176,,2.81650485,,980.00,,0.99,
Kepler-671,b,,2016,,0.240,,4.28095859,,1139.00,,0.95,
Kepler-672,b,,2016,,0.223,,38.37746230,,1011.00,,0.92,
Kepler-673,b,,2016,,0.583,,3.72873109,,978.00,,0.84,
Kepler-674,b,,2016,,0.151,,2.24338185,,302.00,,0.57,
Kepler-675,b,,2016,,0.218,,2.33743801,,651.00,,0.75,
Kepler-676,b,,2016,,0.271,,11.59822172,,243.00,,0.49,
Kepler-677,b,,2016,,0.480,,6.57531678,,1180.00,,0.99,
Kepler-678,b,,2016,,0.459,,7.27503724,,875.00,,0.91,
HD 219134,b,,2015,,,0.038474,3.09310000,0.990,6.55,-0.509,0.77,K3 V
HD 219134,c,,2015,,,0.064816,6.76350000,0.990,6.55,-0.509,0.77,K3 V
HD 219134,d,,2015,,,0.235080,46.71000000,0.990,6.55,-0.509,0.77,K3 V
Kepler-679,b,,2016,,0.269,,12.39358604,,968.00,,0.84,
KOI-94,d,0.36300,2013,0.33400,1.005,0.168400,22.34298900,,,0.479,1.52,
GJ 1132,b,6.00000,2015,0.00510,0.103,,1.62893000,1.680,12.04,-2.359,0.21,M4.5 V
K2-27,b,1.80000,2016,0.09156,0.397,,6.77145000,0.862,,,0.85,
Pr0211,c,,2016,,,5.500000,4850.00000000,0.917,,,0.83,
K2-24,b,,2016,,0.520,0.154200,20.88508000,0.940,181.00,,1.21,G9 V
K2-24,c,,2016,,0.723,0.247100,42.36342000,0.940,181.00,,1.21,G9 V
