Author, Date, Headline, Content_Left, Content_Right
Mathias Uhlenbrock, 2019-12-13, Astronomical Database v0.2 beta released, As of today", Astronomical Database v0.2 beta is released for public testing. The database has been updated to reflect recent changes in the following software packages:<ul><li>PostgreSQL 12.1</li></ul>,
Mathias Uhlenbrock, 2019-08-01, Astronomical Database v0.2 alpha released, As of today", Astronomical Database v0.2 alpha is released for public testing. The database has been updated to reflect recent changes in the following software packages:<ul><li>Django 2.2</li><li>PostgreSQL 11.4</li></ul>,
Mathias Uhlenbrock, 2015-12-13, Astronomical Database v0.1.1 released, The database has been updated to reflect recent changes in the following software packages:<ul><li>Django 1.9</li><li>PostgreSQL 9.1.19</li></ul>,
Mathias Uhlenbrock, 2015-12-12, New planets added to database, <table><tr><td class="cell_standard">GJ 1132 b</td></tr><tr><td class="cell_standard">HAT-P-50 b</td></tr><tr><td class="cell_standard">HAT-P-51 b</td></tr><tr><td class="cell_standard">HAT-P-52 b</td></tr><tr><td class="cell_standard">HAT-P-53 b</td></tr><tr><td class="cell_standard">HD 1461 c</td></tr><tr><td class="cell_standard">HD 175607 b</td></tr><tr><td class="cell_standard">HD 204313 c</td></tr><tr><td class="cell_standard">HD 219134 f</td></tr><tr><td class="cell_standard">HD 219134 g</td></tr><tr><td class="cell_standard">HD 219134 h</td></tr><tr><td class="cell_standard">Kepler-454 b</td></tr><tr><td class="cell_standard">Kepler-454 c</td></tr><tr><td class="cell_standard">LkCa 15 b</td></tr><tr><td class="cell_standard">LkCa 15 c</td></tr><tr><td class="cell_standard">WASP-135 b</td></tr><tr><td class="cell_standard"></td></tr></table>,
Mathias Uhlenbrock, 2015-11-07, Astronomical Database v0.1 released, As of today", Astronomical Database v0.1 is released.<br><br>Bugfixes<ul><li>Fixed typos</li></ul>,
Mathias Uhlenbrock, 2015-11-05, New planets added to database, <table><tr><td class="cell_standard">8 UMi b</td></tr><tr><td class="cell_standard">HAT-P-57 b</td></tr><tr><td class="cell_standard">HD 11755 b</td></tr><tr><td class="cell_standard">HD 12648 b</td></tr><tr><td class="cell_standard">HD 155233 b</td></tr><tr><td class="cell_standard">HD 24064 b</td></tr><tr><td class="cell_standard">K2-22 b</td></tr><tr><td class="cell_standard">OGLE 2013-BLG-0723L B b</td></tr><tr><td class="cell_standard">WASP-41 c</td></tr><tr><td class="cell_standard">WASP-47 c</td></tr><tr><td class="cell_standard">WASP-47 d</td></tr><tr><td class="cell_standard">WASP-47 e</td></tr><tr><td class="cell_standard"></td></tr></table>,
Mathias Uhlenbrock, 2015-10-09, Astronomical Database v0.1 beta released, As of today", Astronomical Database v0.1 beta is released for public testing.<ul><li>Links are more pronounced now</li><li>Changed symbol for stars with unknown radii</li><li>Changed symbol for gas planets</li><li>New catalogue 'Other stars' for stars which could not be sorted otherwise</li></ul>Bugfixes<ul><li>Fixed template code not concordant with HTML5 standard</li></ul>,
Mathias Uhlenbrock, 2015-10-03, Astronomical Database v0.1 alpha released, As of today", Astronomical Database v0.1 alpha is released for public testing.,
Mathias Uhlenbrock, 2015-10-01, New planets added to database, <table><tr><td class=""cell_standard"">HD 164595 b</td></tr><tr><td class=""cell_standard"">K2-21 b</td></tr><tr><td class=""cell_standard"">K2-21 c</td></tr><tr><td class=""cell_standard"">KELT-6 c</td></tr><tr><td class=""cell_standard"">KELT-8 b</td></tr><tr><td class=""cell_standard""></td></tr></table>,
Mathias Uhlenbrock, 2015-09-01, New planets added to database, <table><tr><td class=""cell_standard"">51 Eri b</td></tr><tr><td class=""cell_standard"">HATS-13 b</td></tr><tr><td class=""cell_standard"">HATS-14 b</td></tr><tr><td class=""cell_standard"">HD 219134 b</td></tr><tr><td class=""cell_standard"">HD 219134 c</td></tr><tr><td class=""cell_standard"">HD 219134 d</td></tr><tr><td class=""cell_standard"">HD 219134 e</td></tr><tr><td class=""cell_standard"">Kepler-413 b</td></tr><tr><td class=""cell_standard"">Kepler-47 b</td></tr><tr><td class=""cell_standard"">Kepler-47 c</td></tr><tr><td class=""cell_standard"">OGLE 2012-BLG-0563L b</td></tr><tr><td class=""cell_standard""></td></tr></table>, 
Mathias Uhlenbrock, 2015-08-01, New planets added to database, <table><tr><td class=""cell_standard"">2MASS J19383260+4603591 b</td></tr><tr><td class=""cell_standard"">HAT-P-55 b</td></tr><tr><td class=""cell_standard"">HAT-P-56 b</td></tr><tr><td class=""cell_standard"">HATS-8 b</td></tr><tr><td class=""cell_standard"">HIP 107773 b</td></tr><tr><td class=""cell_standard"">HIP 65891 b</td></tr><tr><td class=""cell_standard"">HIP 67851 b</td></tr><tr><td class=""cell_standard"">HIP 67851 c</td></tr><tr><td class=""cell_standard"">K2-10 b</td></tr><tr><td class=""cell_standard"">K2-11 b</td></tr><tr><td class=""cell_standard"">K2-12 b</td></tr><tr><td class=""cell_standard"">K2-13 b</td></tr><tr><td class=""cell_standard"">K2-14 b</td></tr><tr><td class=""cell_standard"">K2-15 b</td></tr><tr><td class=""cell_standard"">K2-16 b</td></tr><tr><td class=""cell_standard"">K2-16 c</td></tr><tr><td class=""cell_standard"">K2-17 b</td></tr><tr><td class=""cell_standard"">K2-18 b</td></tr><tr><td class=""cell_standard"">K2-19 b</td></tr><tr><td class=""cell_standard"">K2-19 c</td></tr><tr><td class=""cell_standard""></td></tr></table>, <table><tr><td class=""cell_standard"">K2-4 b</td></tr><tr><td class=""cell_standard"">K2-5 b</td></tr><tr><td class=""cell_standard"">K2-5 c</td></tr><tr><td class=""cell_standard"">K2-6 b</td></tr><tr><td class=""cell_standard"">K2-7 b</td></tr><tr><td class=""cell_standard"">K2-8 b</td></tr><tr><td class=""cell_standard"">K2-9 b</td></tr><tr><td class=""cell_standard"">KELT-7 b</td></tr><tr><td class=""cell_standard"">Kepler-452 b</td></tr><tr><td class=""cell_standard"">Kepler-453 b</td></tr><tr><td class=""cell_standard"">KOI-7273 b</td></tr><tr><td class=""cell_standard"">KOI-7273 c</td></tr><tr><td class=""cell_standard"">MOA 2010-BLG-328L b</td></tr><tr><td class=""cell_standard"">MOA 2011-BLG-262L b</td></tr><tr><td class=""cell_standard"">PH1 b</td></tr><tr><td class=""cell_standard"">Ross 458 c</td></tr><tr><td class=""cell_standard"">WASP-74 b</td></tr><tr><td class=""cell_standard"">WASP-83 b</td></tr><tr><td class=""cell_standard"">WASP-89 b</td></tr><tr><td class=""cell_standard"">alf Tau b</td></tr><tr><td class=""cell_standard""></td></tr></table><table><tr><td class=""cell_standard""></td></tr></table> 
Mathias Uhlenbrock, 2015-06-01, New planets added to database, <table><tr><td class=""cell_standard"">2MASS J02192210-3925225 b</td></tr><tr><td class=""cell_standard"">HATS-10 b</td></tr><tr><td class=""cell_standard"">HATS-6 b</td></tr><tr><td class=""cell_standard"">HATS-9 b</td></tr><tr><td class=""cell_standard"">HD 7924 c</td></tr><tr><td class=""cell_standard"">HD 7924 d</td></tr><tr><td class=""cell_standard"">HD 121056 b</td></tr><tr><td class=""cell_standard"">HD 121056 c</td></tr><tr><td class=""cell_standard"">KOI-12 b</td></tr><tr><td class=""cell_standard"">Kepler-449 b</td></tr><tr><td class=""cell_standard"">Kepler-449 c</td></tr><tr><td class=""cell_standard"">Kepler-450 b</td></tr><tr><td class=""cell_standard"">Kepler-450 c</td></tr><tr><td class=""cell_standard"">Kepler-450 d</td></tr><tr><td class=""cell_standard"">Kepler-92 d</td></tr><tr><td class=""cell_standard"">OGLE 2008-BLG-92L b</td></tr><tr><td class=""cell_standard"">OGLE 2012-BLG-26L b</td></tr><tr><td class=""cell_standard"">OGLE 2012-BLG-26L c</td></tr><tr><td class=""cell_standard"">VHS J125601.92-125723.9 b</td></tr><tr><td class=""cell_standard""></td></tr></table>,
